job_id,job_name,publication_date,categories,levels,job_level,company_id,location_name,company_name,landing_page
21420020,Junior Inside Sales Representative,2026-03-12 19:22:19+00:00,,Entry Level,Entry Level,15000289,Flexible / Remote,Forcepoint,https://www.themuse.com/jobs/forcepoint/junior-inside-sales-representative-ca9338
10657764,Content Creation Specialist,,,Entry Level | Mid Level,Entry Level,994,Flexible / Remote,PetMeds®,https://www.themuse.com/jobs/petmeds/content-creation-specialist
21633991,Customer Support Agent (Open to New Grads),2026-04-28 19:06:58+00:00,Unknown,Entry Level,Entry Level,15000222,"Flexible / Remote | Manila, Philippines","Equinix, Inc",https://www.themuse.com/jobs/equinixinc/customer-support-agent-open-to-new-grads-e19f9a
21033616,Entry Level Technical Field Advisor (TFA) Steam Turbine,2026-03-04 18:34:07+00:00,,Entry Level,Entry Level,15000121,"Boston, MA | Flexible / Remote",GE Vernova,https://www.themuse.com/jobs/gevernova/entry-level-technical-field-advisor-tfa-steam-turbine-a8b855
20429721,Accounting Coordinator,2025-10-10 19:58:59+00:00,,Entry Level,Entry Level,1211,"Flexible / Remote | Pompano Beach, FL",Enterprise Mobility,https://www.themuse.com/jobs/enterprisemobility/accounting-coordinator-da2325
19090457,Online Data Analyst - German Speakers (DE),2025-05-27 13:03:35+00:00,,Entry Level,Entry Level,12251,Flexible / Remote,TELUS Digital,https://www.themuse.com/jobs/telusdigital/online-data-analyst-german-speakers-de
21589194,Entry Level Technical Field Advisor,2026-04-17 18:31:37+00:00,Unknown,Entry Level,Entry Level,15000121,"Boston, MA | Flexible / Remote",GE Vernova,https://www.themuse.com/jobs/gevernova/entry-level-technical-field-advisor-5ee41b
14824763,Help Desk Customer Service Advisor,2024-05-16 23:40:16+00:00,Customer Service,Entry Level,Entry Level,15000181,Flexible / Remote,Anthology,https://www.themuse.com/jobs/anthology/help-desk-customer-service-advisor
14852753,Bilingual Inbound/Outbound Enrollment Advisor,2024-05-16 23:40:16+00:00,Education,Entry Level,Entry Level,15000181,"Flexible / Remote | Greenville, SC",Anthology,https://www.themuse.com/jobs/anthology/bilingual-inboundoutbound-enrollment-advisor
20897437,Business Development Representative – Remote Internship,2025-12-11 15:34:34+00:00,,Entry Level,Entry Level,1327,Flexible / Remote,The Muse,https://www.themuse.com/jobs/themuse/business-development-representative-remote-internship
19943144,Shared Services Representative - Remote - Fleet Management,2025-08-19 19:48:14+00:00,,Entry Level,Entry Level,1211,"Flexible / Remote | Kansas City, MO",Enterprise Mobility,https://www.themuse.com/jobs/enterprisemobility/shared-services-representative-remote-fleet-management-ab551b
4292923,Graphic Artist,2020-10-09 20:25:56+00:00,,Entry Level | Internship,Entry Level,12093,Flexible / Remote,CURLS,https://www.themuse.com/jobs/curls/graphic-artist-c39a10
20368600,Backend Developer - Junior (Kyndryl Graduate Program),2025-10-22 18:34:05+00:00,Software Engineering,Entry Level,Entry Level,15000490,"Buenos Aires, Argentina | Flexible / Remote",Kyndryl,https://www.themuse.com/jobs/kyndryl/backend-developer-junior-kyndryl-graduate-program
18276722,Sales Development Representative (Sales Academy),2026-05-01 23:29:26+00:00,Sales,Entry Level,Entry Level,15000107,"Flexible / Remote | Neenah, WI","J. J. Keller & Associates, Inc.",https://www.themuse.com/jobs/jjkellerassociatesinc/sales-development-representative-sales-academy-182f14
